Fund Name,Type,QTD,1 year,3 year,5 year,Lifetime,Expected_return_1_yr,Recommended
SPDR Gold Shares,Commodity,3.6,21.34,7.64,5.43,8.087, N/A , N/A 
Invesco DB Commodity Index Tracking Fund,Equity,-29.47,-28.11,-8.69,-7.47,-4.58, N/A , N/A 
