Date,Open,High,Low,Close,Adj Close,Volume
2015-08-24,76.080002,76.080002,76.080002,76.080002,52.831421,0
2015-08-25,75.720001,75.720001,75.720001,75.720001,52.581432,0
2015-08-26,77.739998,77.739998,77.739998,77.739998,53.984161,0
2015-08-27,79.510002,79.510002,79.510002,79.510002,55.213287,0
2015-08-28,79.779999,79.779999,79.779999,79.779999,55.400772,0
2015-08-31,79.059998,79.059998,79.059998,79.059998,54.900791,0
2015-09-01,77.199997,77.199997,77.199997,77.199997,53.609173,0
2015-09-02,78.580002,78.580002,78.580002,78.580002,54.567474,0
2015-09-03,78.739998,78.739998,78.739998,78.739998,54.678577,0
2015-09-04,77.940002,77.940002,77.940002,77.940002,54.123043,0
2015-09-08,79.720001,79.720001,79.720001,79.720001,55.359112,0
2015-09-09,78.949997,78.949997,78.949997,78.949997,54.824413,0
2015-09-10,79.279999,79.279999,79.279999,79.279999,55.053566,0
2015-09-11,79.690002,79.690002,79.690002,79.690002,55.338280,0
2015-09-14,79.389999,79.389999,79.389999,79.389999,55.129955,0
2015-09-15,80.250000,80.250000,80.250000,80.250000,55.727154,0
2015-09-16,80.830002,80.830002,80.830002,80.830002,56.129917,0
2015-09-17,80.669998,80.669998,80.669998,80.669998,56.018806,0
2015-09-18,79.540001,79.540001,79.540001,79.540001,55.234119,0
2015-09-21,79.779999,79.779999,79.779999,79.779999,55.400772,0
2015-09-22,78.589996,78.589996,78.589996,78.589996,54.574417,0
2015-09-23,78.489998,78.489998,78.489998,78.489998,54.504967,0
2015-09-24,77.889999,77.889999,77.889999,77.889999,54.088314,0
2015-09-25,77.620003,77.620003,77.620003,77.620003,53.900829,0
2015-09-28,75.290001,75.290001,75.290001,75.290001,52.282837,0
2015-09-29,75.089996,75.089996,75.089996,75.089996,52.143948,0
2015-09-30,76.449997,76.449997,76.449997,76.449997,53.088356,0
2015-10-01,76.599998,76.599998,76.599998,76.599998,53.192520,0
2015-10-02,77.849998,77.849998,77.849998,77.849998,54.060543,0
2015-10-05,78.800003,78.800003,78.800003,78.800003,54.720245,0
2015-10-06,77.930000,77.930000,77.930000,77.930000,54.116100,0
2015-10-07,78.800003,78.800003,78.800003,78.800003,54.720245,0
2015-10-08,79.510002,79.510002,79.510002,79.510002,55.213287,0
2015-10-09,79.699997,79.699997,79.699997,79.699997,55.345222,0
2015-10-12,79.709999,79.709999,79.709999,79.709999,55.352169,0
2015-10-13,78.940002,78.940002,78.940002,78.940002,54.817467,0
2015-10-14,78.480003,78.480003,78.480003,78.480003,54.498032,0
2015-10-15,79.570000,79.570000,79.570000,79.570000,55.254948,0
