Date,Open,High,Low,Close,Adj Close,Volume
2015-05-04,25.840000,25.840000,25.840000,25.840000,20.156710,0
2015-05-05,25.740000,25.740000,25.740000,25.740000,20.078697,0
2015-05-06,25.629999,25.629999,25.629999,25.629999,19.992891,0
2015-05-07,25.690001,25.690001,25.690001,25.690001,20.039698,0
2015-05-08,25.860001,25.860001,25.860001,25.860001,20.172308,0
2015-05-11,25.709999,25.709999,25.709999,25.709999,20.055302,0
2015-05-12,25.680000,25.680000,25.680000,25.680000,20.031898,0
2015-05-13,25.660000,25.660000,25.660000,25.660000,20.016300,0
2015-05-14,25.790001,25.790001,25.790001,25.790001,20.117708,0
2015-05-15,25.889999,25.889999,25.889999,25.889999,20.195711,0
2015-05-18,25.809999,25.809999,25.809999,25.809999,20.133303,0
2015-05-19,25.760000,25.760000,25.760000,25.760000,20.094303,0
2015-05-20,25.780001,25.780001,25.780001,25.780001,20.109909,0
2015-05-21,25.860001,25.860001,25.860001,25.860001,20.172308,0
2015-05-22,25.799999,25.799999,25.799999,25.799999,20.125507,0
2015-05-26,25.770000,25.770000,25.770000,25.770000,20.102102,0
2015-05-27,25.850000,25.850000,25.850000,25.850000,20.164507,0
2015-05-28,25.860001,25.860001,25.860001,25.860001,20.172308,0
2015-05-29,25.809999,25.809999,25.809999,25.809999,20.133303,0
2015-06-01,25.750000,25.750000,25.750000,25.750000,20.086506,0
2015-06-02,25.660000,25.660000,25.660000,25.660000,20.016300,0
2015-06-03,25.590000,25.590000,25.590000,25.590000,19.961691,0
2015-06-04,25.549999,25.549999,25.549999,25.549999,19.930489,0
2015-06-05,25.459999,25.459999,25.459999,25.459999,19.860287,0
2015-06-08,25.420000,25.420000,25.420000,25.420000,19.829082,0
2015-06-09,25.389999,25.389999,25.389999,25.389999,19.805681,0
2015-06-10,25.450001,25.450001,25.450001,25.450001,19.852488,0
2015-06-11,25.559999,25.559999,25.559999,25.559999,19.938292,0
2015-06-12,25.469999,25.469999,25.469999,25.469999,19.868086,0
2015-06-15,25.440001,25.440001,25.440001,25.440001,19.844685,0
2015-06-16,25.530001,25.530001,25.530001,25.530001,19.914892,0
2015-06-17,25.540001,25.540001,25.540001,25.540001,19.922688,0
2015-06-18,25.620001,25.620001,25.620001,25.620001,19.985094,0
2015-06-19,25.430000,25.430000,25.430000,25.430000,19.977242,0
2015-06-22,25.400000,25.400000,25.400000,25.400000,19.953669,0
2015-06-23,25.360001,25.360001,25.360001,25.360001,19.922249,0
2015-06-24,25.330000,25.330000,25.330000,25.330000,19.898678,0
2015-06-25,25.280001,25.280001,25.280001,25.280001,19.859402,0
2015-06-26,25.230000,25.230000,25.230000,25.230000,19.820126,0
2015-06-29,25.150000,25.150000,25.150000,25.150000,19.757278,0
2015-06-30,25.110001,25.110001,25.110001,25.110001,19.725855,0
2015-07-01,25.120001,25.120001,25.120001,25.120001,19.733711,0
2015-07-02,25.160000,25.160000,25.160000,25.160000,19.765131,0
2015-07-06,25.190001,25.190001,25.190001,25.190001,19.788702,0
2015-07-07,25.280001,25.280001,25.280001,25.280001,19.859402,0
2015-07-08,25.200001,25.200001,25.200001,25.200001,19.796555,0
2015-07-09,25.110001,25.110001,25.110001,25.110001,19.725855,0
2015-07-10,25.160000,25.160000,25.160000,25.160000,19.765131,0
2015-07-13,25.219999,25.219999,25.219999,25.219999,19.812269,0
2015-07-14,25.290001,25.290001,25.290001,25.290001,19.867256,0
2015-07-15,25.309999,25.309999,25.309999,25.309999,19.882969,0
2015-07-16,25.400000,25.400000,25.400000,25.400000,19.953669,0
2015-07-17,25.370001,25.370001,25.370001,25.370001,19.930107,0
2015-07-20,25.340000,25.340000,25.340000,25.340000,19.906538,0
2015-07-21,25.320000,25.320000,25.320000,25.320000,19.890827,0
2015-07-22,25.270000,25.270000,25.270000,25.270000,19.851545,0
2015-07-23,25.290001,25.290001,25.290001,25.290001,19.867256,0
2015-07-24,25.209999,25.209999,25.209999,25.209999,19.804411,0
2015-07-27,25.200001,25.200001,25.200001,25.200001,19.796555,0
2015-07-28,25.270000,25.270000,25.270000,25.270000,19.851545,0
2015-07-29,25.330000,25.330000,25.330000,25.330000,19.898678,0
2015-07-30,25.379999,25.379999,25.379999,25.379999,19.937958,0
2015-07-31,25.420000,25.420000,25.420000,25.420000,19.969381,0
2015-08-03,25.440001,25.440001,25.440001,25.440001,19.985094,0
2015-08-04,25.370001,25.370001,25.370001,25.370001,19.930107,0
2015-08-05,25.370001,25.370001,25.370001,25.370001,19.930107,0
2015-08-06,25.370001,25.370001,25.370001,25.370001,19.930107,0
2015-08-07,25.379999,25.379999,25.379999,25.379999,19.937958,0
2015-08-10,25.450001,25.450001,25.450001,25.450001,19.992954,0
2015-08-11,25.440001,25.440001,25.440001,25.440001,19.985094,0
2015-08-12,25.430000,25.430000,25.430000,25.430000,19.977242,0
2015-08-13,25.389999,25.389999,25.389999,25.389999,19.945816,0
2015-08-14,25.430000,25.430000,25.430000,25.430000,19.977242,0
2015-08-17,25.480000,25.480000,25.480000,25.480000,20.016518,0
2015-08-18,25.420000,25.420000,25.420000,25.420000,19.969381,0
2015-08-19,25.400000,25.400000,25.400000,25.400000,19.953669,0
2015-08-20,25.260000,25.260000,25.260000,25.260000,19.843693,0
2015-08-21,25.040001,25.040001,25.040001,25.040001,19.670866,0
2015-08-24,24.709999,24.709999,24.709999,24.709999,19.411625,0
2015-08-25,24.490000,24.490000,24.490000,24.490000,19.238798,0
2015-08-26,24.709999,24.709999,24.709999,24.709999,19.411625,0
2015-08-27,24.940001,24.940001,24.940001,24.940001,19.592306,0
2015-08-28,24.950001,24.950001,24.950001,24.950001,19.600161,0
2015-08-31,24.860001,24.860001,24.860001,24.860001,19.529459,0
2015-09-01,24.629999,24.629999,24.629999,24.629999,19.348782,0
2015-09-02,24.740000,24.740000,24.740000,24.740000,19.435194,0
2015-09-03,24.809999,24.809999,24.809999,24.809999,19.490183,0
2015-09-04,24.700001,24.700001,24.700001,24.700001,19.403770,0
2015-09-08,24.870001,24.870001,24.870001,24.870001,19.537313,0
2015-09-09,24.770000,24.770000,24.770000,24.770000,19.458757,0
2015-09-10,24.790001,24.790001,24.790001,24.790001,19.474468,0
2015-09-11,24.840000,24.840000,24.840000,24.840000,19.513750,0
2015-09-14,24.820000,24.820000,24.820000,24.820000,19.498035,0
2015-09-15,24.840000,24.840000,24.840000,24.840000,19.513750,0
2015-09-16,24.920000,24.920000,24.920000,24.920000,19.576597,0
2015-09-17,24.980000,24.980000,24.980000,24.980000,19.623730,0
2015-09-18,24.709999,24.709999,24.709999,24.709999,19.558825,0
2015-09-21,24.670000,24.670000,24.670000,24.670000,19.527163,0
2015-09-22,24.629999,24.629999,24.629999,24.629999,19.495502,0
2015-09-23,24.600000,24.600000,24.600000,24.600000,19.471754,0
2015-09-24,24.610001,24.610001,24.610001,24.610001,19.479670,0
2015-09-25,24.620001,24.620001,24.620001,24.620001,19.487589,0
2015-09-28,24.520000,24.520000,24.520000,24.520000,19.408430,0
2015-09-29,24.580000,24.580000,24.580000,24.580000,19.455925,0
2015-09-30,24.709999,24.709999,24.709999,24.709999,19.558825,0
2015-10-01,24.700001,24.700001,24.700001,24.700001,19.550911,0
2015-10-02,24.850000,24.850000,24.850000,24.850000,19.669641,0
2015-10-05,24.980000,24.980000,24.980000,24.980000,19.772537,0
2015-10-06,25.010000,25.010000,25.010000,25.010000,19.796284,0
2015-10-07,25.080000,25.080000,25.080000,25.080000,19.851692,0
2015-10-08,25.150000,25.150000,25.150000,25.150000,19.907101,0
2015-10-09,25.129999,25.129999,25.129999,25.129999,19.891270,0
2015-10-12,25.170000,25.170000,25.170000,25.170000,19.922928,0
2015-10-13,25.129999,25.129999,25.129999,25.129999,19.891270,0
2015-10-14,25.200001,25.200001,25.200001,25.200001,19.946674,0
2015-10-15,25.299999,25.299999,25.299999,25.299999,20.025833,0
2015-10-16,25.360001,25.360001,25.360001,25.360001,20.073320,0
2015-10-19,25.330000,25.330000,25.330000,25.330000,20.049574,0
2015-10-20,25.299999,25.299999,25.299999,25.299999,20.025833,0
2015-10-21,25.320000,25.320000,25.320000,25.320000,20.041662,0
2015-10-22,25.549999,25.549999,25.549999,25.549999,20.223713,0
2015-10-23,25.590000,25.590000,25.590000,25.590000,20.255373,0
2015-10-26,25.600000,25.600000,25.600000,25.600000,20.263290,0
2015-10-27,25.580000,25.580000,25.580000,25.580000,20.247456,0
2015-10-28,25.660000,25.660000,25.660000,25.660000,20.310783,0
2015-10-29,25.559999,25.559999,25.559999,25.559999,20.231628,0
2015-10-30,25.549999,25.549999,25.549999,25.549999,20.223713,0
2015-11-02,25.620001,25.620001,25.620001,25.620001,20.279123,0
2015-11-03,25.610001,25.610001,25.610001,25.610001,20.271206,0
2015-11-04,25.570000,25.570000,25.570000,25.570000,20.239548,0
2015-11-05,25.559999,25.559999,25.559999,25.559999,20.231628,0
2015-11-06,25.440001,25.440001,25.440001,25.440001,20.136644,0
2015-11-09,25.330000,25.330000,25.330000,25.330000,20.049574,0
2015-11-10,25.370001,25.370001,25.370001,25.370001,20.081238,0
2015-11-11,25.350000,25.350000,25.350000,25.350000,20.065409,0
2015-11-12,25.240000,25.240000,25.240000,25.240000,19.978340,0
2015-11-13,25.209999,25.209999,25.209999,25.209999,19.954590,0
2015-11-16,25.360001,25.360001,25.360001,25.360001,20.073320,0
2015-11-17,25.360001,25.360001,25.360001,25.360001,20.073320,0
2015-11-18,25.480000,25.480000,25.480000,25.480000,20.168304,0
