Date,Open,High,Low,Close,Adj Close,Volume
2015-05-04,31.879999,31.879999,31.879999,31.879999,23.941301,0
2015-05-05,31.559999,31.559999,31.559999,31.559999,23.700989,0
2015-05-06,31.430000,31.430000,31.430000,31.430000,23.603361,0
2015-05-07,31.490000,31.490000,31.490000,31.490000,23.648420,0
2015-05-08,31.940001,31.940001,31.940001,31.940001,23.986362,0
2015-05-11,31.790001,31.790001,31.790001,31.790001,23.873714,0
2015-05-12,31.690001,31.690001,31.690001,31.690001,23.798616,0
2015-05-13,31.730000,31.730000,31.730000,31.730000,23.828653,0
2015-05-14,32.060001,32.060001,32.060001,32.060001,24.076479,0
2015-05-15,32.070000,32.070000,32.070000,32.070000,24.083986,0
2015-05-18,32.110001,32.110001,32.110001,32.110001,24.114027,0
2015-05-19,32.090000,32.090000,32.090000,32.090000,24.099009,0
2015-05-20,32.130001,32.130001,32.130001,32.130001,24.129047,0
2015-05-21,32.169998,32.169998,32.169998,32.169998,24.159084,0
2015-05-22,32.040001,32.040001,32.040001,32.040001,24.061459,0
2015-05-26,31.730000,31.730000,31.730000,31.730000,23.828653,0
2015-05-27,31.980000,31.980000,31.980000,31.980000,24.016397,0
2015-05-28,32.009998,32.009998,32.009998,32.009998,24.038929,0
2015-05-29,31.830000,31.830000,31.830000,31.830000,23.903748,0
2015-06-01,31.820000,31.820000,31.820000,31.820000,23.896244,0
2015-06-02,31.760000,31.760000,31.760000,31.760000,23.851181,0
2015-06-03,31.799999,31.799999,31.799999,31.799999,23.881220,0
2015-06-04,31.490000,31.490000,31.490000,31.490000,23.648420,0
2015-06-05,31.410000,31.410000,31.410000,31.410000,23.588341,0
2015-06-08,31.230000,31.230000,31.230000,31.230000,23.453159,0
2015-06-09,31.270000,31.270000,31.270000,31.270000,23.483200,0
2015-06-10,31.639999,31.639999,31.639999,31.639999,23.761065,0
2015-06-11,31.709999,31.709999,31.709999,31.709999,23.813635,0
2015-06-12,31.440001,31.440001,31.440001,31.440001,23.610870,0
2015-06-15,31.270000,31.270000,31.270000,31.270000,23.483200,0
2015-06-16,31.450001,31.450001,31.450001,31.450001,23.618382,0
2015-06-17,31.530001,31.530001,31.530001,31.530001,23.678461,0
2015-06-18,31.860001,31.860001,31.860001,31.860001,23.926281,0
2015-06-19,31.469999,31.469999,31.469999,31.469999,23.788706,0
2015-06-22,31.620001,31.620001,31.620001,31.620001,23.902094,0
2015-06-23,31.620001,31.620001,31.620001,31.620001,23.902094,0
2015-06-24,31.379999,31.379999,31.379999,31.379999,23.720671,0
2015-06-25,31.240000,31.240000,31.240000,31.240000,23.614841,0
2015-06-26,31.280001,31.280001,31.280001,31.280001,23.645081,0
2015-06-29,30.670000,30.670000,30.670000,30.670000,23.183971,0
2015-06-30,30.670000,30.670000,30.670000,30.670000,23.183971,0
2015-07-01,30.889999,30.889999,30.889999,30.889999,23.350271,0
2015-07-02,30.910000,30.910000,30.910000,30.910000,23.365393,0
2015-07-06,30.780001,30.780001,30.780001,30.780001,23.267118,0
2015-07-07,31.000000,31.000000,31.000000,31.000000,23.433424,0
2015-07-08,30.590000,30.590000,30.590000,30.590000,23.123499,0
2015-07-09,30.610001,30.610001,30.610001,30.610001,23.138620,0
2015-07-10,30.990000,30.990000,30.990000,30.990000,23.425863,0
2015-07-13,31.260000,31.260000,31.260000,31.260000,23.629961,0
2015-07-14,31.389999,31.389999,31.389999,31.389999,23.728230,0
2015-07-15,31.340000,31.340000,31.340000,31.340000,23.690435,0
2015-07-16,31.580000,31.580000,31.580000,31.580000,23.871855,0
2015-07-17,31.459999,31.459999,31.459999,31.459999,23.781145,0
2015-07-20,31.430000,31.430000,31.430000,31.430000,23.758469,0
2015-07-21,31.230000,31.230000,31.230000,31.230000,23.607286,0
2015-07-22,31.100000,31.100000,31.100000,31.100000,23.509014,0
2015-07-23,30.950001,30.950001,30.950001,30.950001,23.395632,0
2015-07-24,30.650000,30.650000,30.650000,30.650000,23.168852,0
2015-07-27,30.510000,30.510000,30.510000,30.510000,23.063025,0
2015-07-28,30.840000,30.840000,30.840000,30.840000,23.312477,0
2015-07-29,31.120001,31.120001,31.120001,31.120001,23.524137,0
2015-07-30,31.170000,31.170000,31.170000,31.170000,23.561930,0
2015-07-31,31.120001,31.120001,31.120001,31.120001,23.524137,0
2015-08-03,31.049999,31.049999,31.049999,31.049999,23.471218,0
2015-08-04,30.980000,30.980000,30.980000,30.980000,23.418304,0
2015-08-05,31.129999,31.129999,31.129999,31.129999,23.531694,0
2015-08-06,30.980000,30.980000,30.980000,30.980000,23.418304,0
2015-08-07,30.860001,30.860001,30.860001,30.860001,23.327591,0
2015-08-10,31.260000,31.260000,31.260000,31.260000,23.629961,0
2015-08-11,30.980000,30.980000,30.980000,30.980000,23.418304,0
2015-08-12,31.040001,31.040001,31.040001,31.040001,23.463661,0
2015-08-13,30.980000,30.980000,30.980000,30.980000,23.418304,0
2015-08-14,31.110001,31.110001,31.110001,31.110001,23.516579,0
2015-08-17,31.219999,31.219999,31.219999,31.219999,23.599728,0
2015-08-18,31.150000,31.150000,31.150000,31.150000,23.546812,0
2015-08-19,30.870001,30.870001,30.870001,30.870001,23.335154,0
2015-08-20,30.309999,30.309999,30.309999,30.309999,22.911842,0
2015-08-21,29.490000,29.490000,29.490000,29.490000,22.291990,0
2015-08-24,28.389999,28.389999,28.389999,28.389999,21.460480,0
2015-08-25,27.879999,27.879999,27.879999,27.879999,21.074965,0
2015-08-26,28.870001,28.870001,28.870001,28.870001,21.823322,0
2015-08-27,29.540001,29.540001,29.540001,29.540001,22.329784,0
2015-08-28,29.559999,29.559999,29.559999,29.559999,22.344900,0
2015-08-31,29.360001,29.360001,29.360001,29.360001,22.193722,0
2015-09-01,28.490000,28.490000,28.490000,28.490000,21.536072,0
2015-09-02,28.930000,28.930000,28.930000,28.930000,21.868671,0
2015-09-03,29.049999,29.049999,29.049999,29.049999,21.959389,0
2015-09-04,28.559999,28.559999,28.559999,28.559999,21.588984,0
2015-09-08,29.290001,29.290001,29.290001,29.290001,22.140806,0
2015-09-09,28.879999,28.879999,28.879999,28.879999,21.830883,0
